filename,label
utt_0000,"fo_o_fw_""_by_bc"
utt_0001,x
utt_0002,qh
utt_0003,sd
utt_0004,%
utt_0005,sd
utt_0006,sv
utt_0007,b
utt_0008,+
utt_0009,b
utt_0010,+
utt_0011,aa
utt_0012,sd
utt_0013,%
utt_0014,sv
utt_0015,b
utt_0016,sd
utt_0017,b
utt_0018,sd
utt_0019,sd
utt_0020,sv
utt_0021,%
utt_0022,sv
utt_0023,b
utt_0024,+
utt_0025,aa
utt_0026,aa
utt_0027,sd
utt_0028,sd
utt_0029,sd
utt_0030,sd
utt_0031,sd
utt_0032,sd
utt_0033,sd
utt_0034,sd
utt_0035,sd
utt_0036,sd
utt_0037,sv
utt_0038,aa
utt_0039,b
utt_0040,b
utt_0041,+
utt_0042,sd
utt_0043,sd
utt_0044,sd
utt_0045,sd
utt_0046,b
utt_0047,sd
utt_0048,b
utt_0049,sd
utt_0050,b
utt_0051,+
utt_0052,%
utt_0053,sd
utt_0054,b
utt_0055,sd
utt_0056,sd
utt_0057,%
utt_0058,%
utt_0059,%
utt_0060,sd
utt_0061,%
utt_0062,sd
utt_0063,b
utt_0064,+
utt_0065,sd
utt_0066,b
utt_0067,+
utt_0068,sd
utt_0069,sd
utt_0070,b
utt_0071,+
utt_0072,sd
utt_0073,b
utt_0074,sd
utt_0075,b
utt_0076,+
utt_0077,ba
utt_0078,sd
utt_0079,b
utt_0080,sd
utt_0081,b
utt_0082,+
utt_0083,sd
utt_0084,sv
utt_0085,sd
utt_0086,sv
utt_0087,sd
utt_0088,sd
utt_0089,sv
utt_0090,sd
utt_0091,sd
utt_0092,%
utt_0093,sd
utt_0094,sd
utt_0095,sd
utt_0096,sd
utt_0097,sd
utt_0098,sd
utt_0099,b
utt_0100,+
utt_0101,%
utt_0102,sv
utt_0103,sv
utt_0104,sd
utt_0105,sd
utt_0106,+
utt_0107,sd
utt_0108,b
utt_0109,+
utt_0110,b
utt_0111,%
utt_0112,sd
utt_0113,b
utt_0114,sd
utt_0115,b
utt_0116,+
utt_0117,ba
utt_0118,%
utt_0119,+
utt_0120,sd
utt_0121,+
utt_0122,b
utt_0123,aa
utt_0124,sd
utt_0125,sd
utt_0126,sd
utt_0127,sd
utt_0128,sd
utt_0129,sd
utt_0130,sd
utt_0131,sd
utt_0132,aa
utt_0133,sd
utt_0134,sd
utt_0135,sd
utt_0136,%
utt_0137,sd
utt_0138,sd
utt_0139,sd
utt_0140,sv
utt_0141,sv
utt_0142,%
utt_0143,sd
utt_0144,sd
utt_0145,sd
utt_0146,b
utt_0147,sd
utt_0148,b
utt_0149,+
utt_0150,b
utt_0151,+
utt_0152,^2
utt_0153,+
utt_0154,b
utt_0155,ba
utt_0156,+
utt_0157,b
utt_0158,sd
utt_0159,b
utt_0160,sd
utt_0161,sd
utt_0162,sd
utt_0163,aa
utt_0164,sd
utt_0165,sd
utt_0166,b
utt_0167,%
utt_0168,sv
utt_0169,sd
utt_0170,qy
utt_0171,%
utt_0172,%
utt_0173,ny
utt_0174,sd
utt_0175,bk
utt_0176,bk
utt_0177,sd
utt_0178,sd
utt_0179,%
utt_0180,b
utt_0181,sd
